"date","Ws_hourly_avg","co","pm10","T_met","visib_met","press_met"
2003-05-11 16:00:00,10.4,0.26,91,26.1111111111111,7,0
2003-05-12 00:00:00,11.5,0.2,65,32.7777777777778,7,0
2003-05-12 08:00:00,8.5,0.61,63,32.2222222222222,7,0
2003-05-12 16:00:00,8.9,0.74,79,28.8888888888889,7,0
2003-05-13 00:00:00,8.6,0.51,101,31.1111111111111,7,0
2003-05-13 08:00:00,8.6,0.75,130,31.1111111111111,7,0
2003-05-13 16:00:00,9.8,0.67,118,28.8888888888889,7,0
2003-05-14 00:00:00,8.1,0.71,109,28.8888888888889,7,0
2003-05-14 08:00:00,13.4,0.53,87,25,7,0
2003-05-14 16:00:00,7.4,0.85,77,25,7,0
2003-05-15 00:00:00,3.7,1.05,83,32.2222222222222,7,0
2003-05-15 08:00:00,10.4,1.34,150,32.2222222222222,7,0
2003-05-15 16:00:00,9.1,0.09,97,27.7777777777778,7,0
2003-05-16 00:00:00,5.3,0.56,138,32.7777777777778,7,0
2003-05-16 08:00:00,12.3,1.23,132,32.7777777777778,7,0
2003-05-16 16:00:00,12.5,1.06,114,27.7777777777778,7,0
2003-05-17 00:00:00,5.5,1.31,214,32.7777777777778,7,0
2003-05-17 08:00:00,9.8,1.02,115,32.2222222222222,7,0
2003-05-17 16:00:00,8,1.23,127,28.8888888888889,7,0
2003-05-18 00:00:00,4.2,1.85,174,32.7777777777778,7,0
2003-05-18 08:00:00,12.9,0.95,152,32.2222222222222,7,0
2003-05-18 16:00:00,13.8,0.67,104,28.8888888888889,7,0
2003-05-19 00:00:00,3.9,0.56,135,32.7777777777778,7,0
2003-05-19 08:00:00,9.8,1.06,162,32.2222222222222,7,0
2003-05-19 16:00:00,8.6,0.45,117,27.7777777777778,7,0
2003-05-20 00:00:00,3.5,1.16,138,32.7777777777778,7,0
2003-05-20 08:00:00,9.4,2.04,169,32.2222222222222,7,0
2003-05-20 16:00:00,12.3,0.18,104,30,7,0
2003-05-21 00:00:00,4.8,0.6,95,32.7777777777778,7,0
2003-05-21 08:00:00,12,1.6,167,32.2222222222222,7,0
2003-05-21 16:00:00,14.3,0.16,133,27.7777777777778,7,0
2003-05-22 00:00:00,4.3,0.81,121,32.7777777777778,7,0
2003-05-22 08:00:00,9.5,1.31,99,32.2222222222222,7,0
2003-05-22 16:00:00,9.1,0.59,129,28.8888888888889,7,0
2003-05-23 00:00:00,5.3,0.95,152,33.8888888888889,7,0
2003-05-23 08:00:00,13,2.15,154,33.8888888888889,7,0
